Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Oscar da Silva,SU,.547,.527,140.7,0.061,0.17300000000000001,0.11900000000000001,0.12300000000000001,0.18600000000000003,0.013000000000000001,0.040999999999999995,0.185,-2.7,1.2,103.6,98.3,5.2,257.5,14.7,0.547,0.527,140.7,-2.7,1.2,103.6,98.3,5.2,257.5,14.7
Robert McCoy,PSU,.480,.446,125.0,0.106,0.19,0.145,0.075,0.149,0.025,0.032,0.188,-3.3,1.2,104.2,101.3,3.0,200.8,14.7,0.48,0.446,125,-3.3,1.2,104.2,101.3,3,200.8,14.7
Micaiah Henry,TTU,.570,.579,109.4,0.10300000000000001,0.099,0.10099999999999999,0.057,0.209,0.008,0.073,0.204,-6.9,1.5,99.7,105.1,-5.4,199.5,14.7,0.57,0.579,109.4,-6.9,1.5,99.7,105.1,-5.4,199.5,14.7
E.J. Montgomery,UK,.499,.488,124.7,0.142,0.175,0.16,0.049,0.172,0.017,0.078,0.154,-3.5,1.1,105.7,91.9,13.8,162.5,14.7,0.499,0.488,124.7,-3.5,1.1,105.7,91.9,13.8,162.5,14.7
Trey Landers,DAY,.528,.495,136.9,0.08800000000000001,0.196,0.14800000000000002,0.128,0.17,0.013999999999999999,0.013999999999999999,0.184,-1.1,1.2,106.2,97.0,9.2,255.5,14.7,0.528,0.495,136.9,-1.1,1.2,106.2,97,9.2,255.5,14.7
Nick Weatherspoon,MSU,.553,.529,156.9,0.009000000000000001,0.11199999999999999,0.061,0.146,0.132,0.026000000000000002,0.008,0.18,0.7,1.2,113.5,103.4,10.0,160.0,14.7,0.553,0.529,156.9,0.7,1.2,113.5,103.4,10,160,14.7
Ivan Gandia-Rosa,UNF,.552,.528,156.0,0.022000000000000002,0.086,0.055,0.34299999999999997,0.21100000000000002,0.018000000000000002,0.004,0.188,4.1,1.2,110.8,106.3,4.5,309.0,14.7,0.552,0.528,156,4.1,1.2,110.8,106.3,4.5,309,14.7
Austin Butler,HC,.546,.524,153.5,0.042,0.109,0.075,0.10800000000000001,0.14,0.026000000000000002,0.008,0.217,-1.9,1.2,102.0,107.1,-5.1,259.4,14.7,0.546,0.524,153.5,-1.9,1.2,102,107.1,-5.1,259.4,14.7
Myles Stephens,PRIN,.498,.458,140.8,0.034,0.187,0.10800000000000001,0.073,0.122,0.015,0.021,0.233,-3.4,1.1,98.5,98.5,-0.0,215.5,14.7,0.498,0.458,140.8,-3.4,1.1,98.5,98.5,-0,215.5,14.7
Jacolby Pemberton,LTU,.561,.522,146.0,0.063,0.168,0.114,0.09,0.161,0.012,0.012,0.191,-3.1,1.4,108.7,99.5,9.2,227.6,14.6,0.561,0.522,146,-3.1,1.4,108.7,99.5,9.2,227.6,14.6
Jacob Calloway,SUU,.590,.569,156.7,0.031,0.147,0.08900000000000001,0.091,0.114,0.012,0.013999999999999999,0.175,-0.9,1.3,114.3,103.2,11.0,233.8,14.6,0.59,0.569,156.7,-0.9,1.3,114.3,103.2,11,233.8,14.6
Matt Mooney,TTU,.527,.493,159.4,0.008,0.106,0.06,0.20800000000000002,0.188,0.035,0.004,0.225,-0.9,1.2,99.8,88.2,11.7,281.1,14.6,0.527,0.493,159.4,-0.9,1.2,99.8,88.2,11.7,281.1,14.6
Eric Jamison,GWU,.626,.605,166.5,0.065,0.172,0.12300000000000001,0.066,0.214,0.017,0.011000000000000001,0.18100000000000002,-5.2,1.4,106.4,102.4,4.0,175.2,14.6,0.626,0.605,166.5,-5.2,1.4,106.4,102.4,4,175.2,14.6
Sam Neumann,MSU,.656,.625,161.6,0.07400000000000001,0.175,0.124,0.151,0.16899999999999998,0.013000000000000001,0.004,0.113,2.0,1.7,132.9,111.9,21.0,191.6,14.6,0.656,0.625,161.6,2,1.7,132.9,111.9,21,191.6,14.6
Abdul Lewis,NJIT,.492,.452,134.6,0.08199999999999999,0.231,0.16,0.136,0.19399999999999998,0.008,0.03,0.262,-5.6,1.2,92.9,97.9,-5.0,267.1,14.6,0.492,0.452,134.6,-5.6,1.2,92.9,97.9,-5,267.1,14.6
Garrett Covington,YSU,.500,.475,145.4,0.059000000000000004,0.107,0.08199999999999999,0.094,0.10400000000000001,0.024,0.006999999999999999,0.21,-1.3,1.1,107.6,110.8,-3.2,182.6,14.6,0.5,0.475,145.4,-1.3,1.1,107.6,110.8,-3.2,182.6,14.6
